Date,Forecast
2015-01-31,14433.785740335476
2015-02-28,2898.099568822421
2015-03-31,52166.7347803117
2015-04-30,21107.29182902923
2015-05-31,22878.56465661026
2015-06-30,30540.485806949055
2015-07-31,27156.84434178785
2015-08-31,26948.08102668118
2015-09-30,73418.88849134452
2015-10-31,30816.15952085146
2015-11-30,73276.6502260981
2015-12-31,69442.93123763776
2016-01-31,20279.547985579153
2016-02-29,14833.336796032061
2016-03-31,34528.79208363397
2016-04-30,34804.76015617831
2016-05-31,42117.31904043326
2016-06-30,30347.29679425965
2016-07-31,33501.46496519162
2016-08-31,39676.12586000117
2016-09-30,64480.819280233205
2016-10-31,43689.46903820114
2016-11-30,75812.43679082877
2016-12-31,82631.03878726045
2017-01-31,26858.505554359675
2017-02-28,18771.141107888063
2017-03-31,48472.133496879964
2017-04-30,38442.860852242695
2017-05-31,43737.889495153024
2017-06-30,38410.422402101394
2017-07-31,39462.22320027071
2017-08-31,43433.83062612415
2017-09-30,75550.89250512519
2017-10-31,47526.80880236921
2017-11-30,83085.60798958663
2017-12-31,86350.85618021671
2018-01-31,32718.688648331645
2018-02-28,22869.15973865073
2018-03-31,62430.80965051784
2018-04-30,41953.36823589592
2018-05-31,45401.03863974467
2018-06-30,46553.66155083832
2018-07-31,45426.64266470392
2018-08-31,47271.55731162038
2018-09-30,86613.95355507614
2018-10-31,51318.944571835425
2018-11-30,90325.65385390056
2018-12-31,90041.08463758435
